,Topic,Timepoint,Words,Scores
0,0,1996,structure,0.0023807818070054054
1,0,1996,system,0.002346305176615715
2,0,1996,molecular,0.0022353101521730423
3,0,1996,structures,0.002220557536929846
4,0,1996,sequences,0.002141704550012946
5,0,1996,proteins,0.0018893773667514324
6,0,1996,given,0.0016514129238203168
7,0,1996,length,0.0016422547632828355
8,0,1996,proton,0.0016362960450351238
9,0,1996,you,0.0015310589224100113
10,0,1997,algorithm,0.0037627937272191048
11,0,1997,amino,0.0032672188244760036
12,0,1997,structure,0.002806546865031123
13,0,1997,energy,0.0027739573270082474
14,0,1997,proteins,0.0025356165133416653
15,0,1997,chain,0.0022651348263025284
16,0,1997,reactions,0.002255563158541918
17,0,1997,distance,0.0020156116224825382
18,0,1997,functional,0.002009358024224639
19,0,1997,sequences,0.001806596526876092
20,0,1998,structure,0.003299450036138296
21,0,1998,sequences,0.0023554423823952675
22,0,1998,system,0.0021080488804727793
23,0,1998,from,0.001954951323568821
24,0,1998,use,0.00189247727394104
25,0,1998,class,0.0017999706324189901
26,0,1998,pro,0.0017777816392481327
27,0,1998,score,0.0017717145383358002
28,0,1998,database,0.0017674630507826805
29,0,1998,molecular,0.0017344487132504582
30,0,1999,sequences,0.0025411550886929035
31,0,1999,structure,0.002385595114901662
32,0,1999,time,0.0020657358691096306
33,0,1999,however,0.0017670091474428773
34,0,1999,alignment,0.0017139152623713017
35,0,1999,system,0.0017008358845487237
36,0,1999,type,0.001602234784513712
37,0,1999,function,0.0015722853131592274
38,0,1999,binding,0.0015450670616701245
39,0,1999,that,0.0015369937755167484
40,0,2000,function,0.00289422320201993
41,0,2000,structure,0.002889428986236453
42,0,2000,sequences,0.0023200390860438347
43,0,2000,proteins,0.0022381488233804703
44,0,2000,information,0.0020079887472093105
45,0,2000,table,0.0018391452031210065
46,0,2000,score,0.0016748168272897601
47,0,2000,site,0.0016669518081471324
48,0,2000,alignment,0.0016420299652963877
49,0,2000,example,0.0016043344512581825
50,0,2001,sites,0.002306150272488594
51,0,2001,values,0.0021231318823993206
52,0,2001,time,0.001977556850761175
53,0,2001,models,0.0019042000640183687
54,0,2001,system,0.0018893694505095482
55,0,2001,sequences,0.0017935087671503425
56,0,2001,alignment,0.0017490070313215256
57,0,2001,distance,0.00172894517891109
58,0,2001,this,0.001662445138208568
59,0,2001,matrix,0.0016614076448604465
60,0,2002,table,0.002322786021977663
61,0,2002,score,0.0018322138348594308
62,0,2002,proteins,0.001653479179367423
63,0,2002,sites,0.001543748308904469
64,0,2002,function,0.0015358389355242252
65,0,2002,can,0.0015255858888849616
66,0,2002,each,0.0015093348920345306
67,0,2002,time,0.0014597575645893812
68,0,2002,example,0.0014247013023123145
69,0,2002,length,0.001423132256604731
70,0,2003,algorithm,0.002190931001678109
71,0,2003,that,0.0021167644299566746
72,0,2003,long,0.001780226593837142
73,0,2003,cluster,0.0017782098148018122
74,0,2003,form,0.0016902053030207753
75,0,2003,information,0.0016329705249518156
76,0,2003,different,0.0016229798784479499
77,0,2003,tree,0.0016027557430788875
78,0,2003,high,0.001594299334101379
79,0,2003,type,0.001527379616163671
80,0,2004,relations,0.00282884668558836
81,0,2004,different,0.0023663027677685022
82,0,2004,structure,0.0022154550533741713
83,0,2004,that,0.002090776339173317
84,0,2004,proteins,0.0019960200879722834
85,0,2004,sequences,0.0018024139571934938
86,0,2004,alternative,0.0017725337529554963
87,0,2004,information,0.001706532435491681
88,0,2004,human,0.0016763114836066961
89,0,2004,knowledge,0.0016696348320692778
90,0,2005,terms,0.0038035374600440264
91,0,2005,function,0.002849329961463809
92,0,2005,term,0.0028023081831634045
93,0,2005,proteins,0.00224948488175869
94,0,2005,table,0.0021178554743528366
95,0,2005,networks,0.002091659465804696
96,0,2005,structure,0.002015361562371254
97,0,2005,information,0.0017976575763896108
98,0,2005,values,0.0017630582442507148
99,0,2005,use,0.0016580938827246428
100,0,2006,snps,0.0025249943137168884
101,0,2006,algorithm,0.002397290663793683
102,0,2006,use,0.002196428133174777
103,0,2006,information,0.0021391045302152634
104,0,2006,snp,0.002102660248056054
105,0,2006,plo,0.0020794144365936518
106,0,2006,ontology,0.0018974455306306481
107,0,2006,values,0.0018045244505628943
108,0,2006,size,0.0017143923323601484
109,0,2006,type,0.0016062920913100243
110,0,2007,information,0.0036853665951639414
111,0,2007,interactions,0.0021519928704947233
112,0,2007,system,0.0019467268139123917
113,0,2007,different,0.001837186748161912
114,0,2007,database,0.0018275731708854437
115,0,2007,interaction,0.0018272153101861477
