,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb23/liu_g.pdf,"Guangliang Liu, Zhiyu Xue, Liang Zhan, Hiroko Dodge, Jiayu Zhou",Detection of Mild Cognitive Impairment from Language Markers with Crossmodal Augmentation,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb23/psb24/erratum-v3_HM.pdf,"Hiral Master, Aymone Kouame, Kayla Marginean, Melissa Basford, Paul Harris, Michelle Holko",How Fitbit data are being made available to registered researchers in All of Us Research Program,1.0,False
2,https://psb.stanford.edu/psb-online/proceedings/psb23/soley.pdf,"Nidhi Soley, Shanshan Song, Natalie Flaks-Manov, Casey Overby Taylor",Risk for Poor Post-Operative Quality of Life Among Wearable Use Subgroups in an All of Us Research Cohort,2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb23/yu.pdf,"Hang Yu, Michael Kotlyar, Sheena Dufresne, Paul Thuras, Serguei Pakhomov",Feasibility of Using an Armband Optical Heart Rate Sensor in Naturalistic Environment,3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb23/eyuboglu.pdf,"Sabri Eyuboglu, Marinka Zitnik, Jure Leskovec",Mutual interactors as a principle for phenotype discovery in molecular interaction,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb23/ayati.pdf,"Marzieh Ayati, Serhan Yilmaz, Filipa Blasco Tavares Pereira Lopes, Mark Chance, Mehmet Koyuturk",Prediction of Kinase-Substrate Associations Using The Functional Landscape of Kinases and Phosphorylation Sites,5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb23/chen_c.pdf,"Chi-Jane Chen, Emma Crawford, and Natalie Stanley",A Graph Coarsening Algorithm for Compressing Representations of Single-Cell Data with Clinical or Experimental Attributes,6.0,True
7,https://psb.stanford.edu/psb-online/proceedings/psb23/soman.pdf,"Karthik Soman, Charlotte A. Nelson, Gabriel Cerono, Sergio E. Baranzini",Time-aware Embeddings of Clinical Data using a Knowledge Graph,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb23/luo.pdf,"Jiaqi Luo, Yunan Luo",Contrastive learning of protein representations with graph neural networks for structural and functional annotations,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb23/shemirani.pdf,"Ruhollah Shemirani, Gillian M Belbin, Keith Burghardt, Kristina Lerman, Christy L Avery, Eimear E Kenny, Christopher R Gignoux, Jose-Luis Ambite",Selecting Clustering Algorithms for Identity-By-Descent Mapping,9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb23/mossel.pdf,"Elchanan Mossel, David Vulakh",Efficient Reconstruction of Stochastic Pedigrees: Some Steps from Theory to Practice,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb23/magnano.pdf,"Chris S Magnano, Anthony Gitter",Graph algorithms for predicting subcellular localization at the pathway level,11.0,True
