,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb99/Szallasi.pdf,Z. Szallas,Genetic Network Analysis in Light of Massively Parallel Biological Data                         Acquisition,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb99/Akutsu.pdf,"T. Akutsu, S. Miyano, and S. Kuhar",Identification of Genetic Networks from a Small Number of Gene Expression               Patterns Under the Boolean Network Model,1.0,True
2,https://psb.stanford.edu/psb-online/proceedings/psb99/Chen.pdf,"T. Chen, H. L. He, and G.M. Churc",Modeling Gene Expression with Differential Equations,2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb99/Dhaeseleer.pdf,"P. D'haeseleer, X. Wen, S. Fuhrman, and R. Somogy",Linear Modeling of mRNA Expression Levels During CNS Development                and Injury,3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb99/Erb.pdf,R.S. Erb and G.S. Michael,Sensitivity of Biological Models to Errors in Parameter Estimates,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb99/Goss.pdf,P.J.E. Goss and J. Peccou,Analysis of the Stabilizing Effect of ROM on the Genetic Network Controlling              ColE1 Plasmid Replication,5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb99/Kyoda.pdf,K. Kyoda and H. Kitan,Simulation of Genetic Interaction for Drosophila Leg Formation,6.0,True
7,https://psb.stanford.edu/psb-online/proceedings/psb99/Nagl.pdf,"S.B. Nagl, J. Freeman, and T.F. Smit",Evolutionary Constraint Networks in Ligand-Binding Domains: An Information- Theoretic Approach,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb99/Samsonova.pdf,M.G. Samsonova and V.N. Sero,NetWork:  An Interactive Interface to the Tools for Analysis of Genetic Network       Structure and Dynamics,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb99/Weaver.pdf,"D.C. Weaver, C.T. Workman, G.D. Storm",Modeling Regulatory Networks with Weight Matrices,9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb99/Giegerich.pdf,"R. Giegerich, D. Haase, and M. Rehmsmeie",Prediction and Visualization of Structural Switches in RNA,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb99/Hudak.pdf,J. Hudak and M.A. McClur,A Comparative Analysis of Computational Motif-Detection Methods,11.0,True
12,https://psb.stanford.edu/psb-online/proceedings/psb99/Laz.pdf,B. Lazareva-Ulitsky and D. Haussle,A Probabilistic Approach to a Consensus Multiple Alignment,12.0,True
