,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb09/cheng-b.pdf,Bin Cheng and Marc Riedel,Stochastic Transient Analysis of Biochemical Systems and Its Application to the Design of Biochemical Logic Gates,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb09/costello.pdf,"James C. Costello, Dan Schrider, Jeff Gehlhausen, Mehmet Dalkilic",Data-Driven Ontologies,1.0,True
2,https://psb.stanford.edu/psb-online/proceedings/psb09/dudley.pdf,Joel T. Dudley and Atul J. Butte,Identification of Discriminating Biomarkers for Human Disease Using Integrative Network Biology,2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb09/kuchaiev.pdf,Oleksii Kuchaiev and Natasa Przulj,Learning the Structure of Protein-Protein Interaction Networks,3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb09/roy.pdf,"Sushmita Roy, Terran Lane, Margaret Werner-Washburne, and Diego Martinez",Inference of Functional Networks of Condition-Specific Response--A Case Study Of Quiescence In Yeast,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb09/sachs.pdf,"K. Sachs, S. Itani, J. Fitzgerald, L. Wille, B. Schoeberl, M.A. Dahleh, and G.P. Nolan",Learning Cyclic Signaling Pathway Structures While Minimizing Data Requirements,5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb09/sen.pdf,"Ina Sen, Michael P. Verdicchio, Sungwon Jung, Robert Trevino, Michael Bittner, and Seungchan Kim",Context-Specific Gene Regulations in Cancer Gene Expression Data,6.0,True
7,https://psb.stanford.edu/psb-online/proceedings/psb09/tari.pdf,"Luis Tari, Jorg Hakenberg, Graciela Gonzalez, Chitta Baral",Querying Parse Tree Database of Medline Text to Synthesize User-Specific Biomolecular Networks,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb09/tian.pdf,Wenhong Tian and Nagiza F. Samatova; Pacific Symposium on Biocomputing 14:99-110(2009),Pairwise Alignment of Interaction Networks by Fast Identification of Maximal Conserved Patterns,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb09/han.pdf,Mira V. Han And Matthew W. Hahn,Identifying Parent-Daughter Relationships Among Duplicated Genes,9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb09/kahn.pdf,Crystal L. Kahn and Benjamin J. Raphael,A Parsimony Approach to Analysis of Human Segmental Duplications,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb09/zhang-m.pdf,"Meng Zhang, William Arndt, and Jijun Tang",An Exact Solver for the DCJ Median Problem,11.0,True
12,https://psb.stanford.edu/psb-online/proceedings/psb09/zhang-q.pdf,"Qi Zhang, Wei Wang, Leonard Mcmillan, Fernando Pardo-Manuel De Villena, and David Threadgill",Inferring Genome-Wide Mosaic Structure,12.0,True
13,https://psb.stanford.edu/psb-online/proceedings/psb09/zhang-y.pdf,"Yu Zhang, Giltae Song, Chih-Hao Hsu, and Webb Miller",Simultaneous History Reconstruction for Complex Gene Clusters in Multiple Species,13.0,True
14,https://psb.stanford.edu/psb-online/proceedings/psb09/colak.pdf,"R. Colak, F. Hormozdiari, F. Moser, A. Schonhuth, J. Holman, M. Ester and S.C. Sahinalp",Dense Graphlet Statistics of Protein Interaction and Random Networks,14.0,True
15,https://psb.stanford.edu/psb-online/proceedings/psb09/gibson.pdf,Todd A. Gibson and Debra S. Goldberg,Reverse Engineering the Evolution of Protein Interaction Networks,15.0,True
16,https://psb.stanford.edu/psb-online/proceedings/psb09/jin.pdf,"Ruoming Jin, Scott Mccallen, Chun-Chi Liu, Yang Xiang, Eivind Almaas, and Xianghong Jasmine Zhou",Identifying Dynamic Network Modules with Temporal and Spatial Constraints,16.0,True
17,https://psb.stanford.edu/psb-online/proceedings/psb09/mitrofanova.pdf,"A. Mitrofanova, M. Farach-Colton, and B. Mishra",Efficient and Robust Prediction Algorithms for Protein Complexes Using Gomory-Hu Trees,17.0,True
18,https://psb.stanford.edu/psb-online/proceedings/psb09/nakamura.pdf,"Kazuyuki Nakamura, Ryo Yoshida, Masao Nagasaki, Satoru Miyano, and Tomoyuki Higuchi",Parameter Estimation of In Silico Biological Pathways with Particle Filtering Towards a Petascale Computing,18.0,True
19,https://psb.stanford.edu/psb-online/proceedings/psb09/palmisano.pdf,"A. Palmisano, I. Mura, and C. Priami","From ODES to Language-Based, Executable Models of Biological Systems",19.0,True
20,https://psb.stanford.edu/psb-online/proceedings/psb09/tamada.pdf,"Yoshinori Tamada, Hiromitsu Araki, Seiya Imoto, Masao Nagasaki, Atsushi Doi, Yukiko Nakanishi, Yuki Tomiyasu, Kaori Yasuda, Ben Dunmore, Deborah Sanders, Sally Humphreys, Cristin Print, D. Stephen Charnock-Jones, Kousuke Tashiro, Satoru Kuhara, and Satoru Miyano",Unraveling Dynamic Activities of Autocrine Pathways that Control Drug-Response Transcriptome Networks,20.0,True
21,https://psb.stanford.edu/psb-online/proceedings/psb09/wang.pdf,"Kai Wang, Mariano J. Alvarez, Brygida C. Bisikirska, Rune Linding, Katia Basso, Riccardo Dalla Favera, and Andrea Califano",Dissecting the Interface Between Signaling and Transcriptional Regulation in Human B Cells,21.0,True
22,https://psb.stanford.edu/psb-online/proceedings/psb09/cheng-y.pdf,"Yuhui Cheng, Michael J. Holst And J. A. Mccammon",Finite Element Analysis of Drug Electrostatic Diffusion: Inhibition Rate Studies in N1 Neuraminidase,22.0,True
23,https://psb.stanford.edu/psb-online/proceedings/psb09/eswaran.pdf,"Senthil K. Eswaran, Aaron J. Fields, Prem Nagarathnam, and Tony M. Keaveny",Multi-Scale Modeling of the Human Vertebral Body: Comparison of Micro-CT Based High-Resolution and Continuum-Level Models,23.0,True
24,https://psb.stanford.edu/psb-online/proceedings/psb09/neal.pdf,"Maxwell Lewis Neal, John H. Gennari, Theo Arts, and Daniel L. Cook",Advances in Semantic Representation for Multiscale Biosimulation: A Case Study in Merging Models,24.0,True
25,https://psb.stanford.edu/psb-online/proceedings/psb09/qutub.pdf,"Amina A. Qutub, Gang Liu, Prakash Vempati, and Aleksander S. Popel",Integration of Angiogenesis Modules at Multiple Scales: From Molecular to Tissue,25.0,True
26,https://psb.stanford.edu/psb-online/proceedings/psb09/sachse.pdf,"Frank B. Sachse, Eleonora Savio-Galimberti, Joshua I. Goldhaber, and John H. B. Bridge",Towards Computational Modeling of Excitation-Contraction Coupling in Cardiac Myocytes: Reconstruction of Structures and Proteins from Confocal Imaging,26.0,True
27,https://psb.stanford.edu/psb-online/proceedings/psb09/voelz.pdf,"V. A. Voelz, P. Petrone, and V. S. Pande",A Multiscale Approach to Sampling Nascent Peptide Chains in the Ribosomal Exit Tunnel,27.0,True
28,https://psb.stanford.edu/psb-online/proceedings/psb09/bidaut.pdf,G. Bidaut and C.J. Stoeckert Jr.,Characterization of Unknown Adult Stem Cell Samples by Large Scale Data Integration and Artificial Neural Networks,28.0,True
29,https://psb.stanford.edu/psb-online/proceedings/psb09/bush.pdf,"William S. Bush, Scott M. Dudek, and Marylyn D. Ritchie",Biofilter: A Knowledge-Integration System for the Multi-Locus Analysis of Genome-Wide Association Studies,29.0,True
30,https://psb.stanford.edu/psb-online/proceedings/psb09/carey.pdf,V. J. Carey and R. Gentleman,Interpreting Genetics Of Gene Expression: Integrative Architecture In Bioconductor,30.0,True
31,https://psb.stanford.edu/psb-online/proceedings/psb09/fox.pdf,"A. Fox, D. Taylor, and D. K. Slonim",High Throughput Interaction Data Reveals Degree Conservation of Hub Proteins,31.0,True
32,https://psb.stanford.edu/psb-online/proceedings/psb09/hart.pdf,Reece K. Hart and Kiran Mukhyala,Unison: An Integrated Platform for Computational Biology Discovery,32.0,True
33,https://psb.stanford.edu/psb-online/proceedings/psb09/pan.pdf,"Feng Pan, Leonard Mcmillan, Fernando Pardo-Manuel De Villena, David Threadgill, and Wei Wang",TreeQA: Quantitative Genome Wide Association Mapping Using Local Perfect Phylogeny Trees,33.0,True
