,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb11/lee.pdf,"Jang Lee, Graciela Gonzalez",Towards Integrative Gene Prioritization in Alzheimer's Disease,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb11/liu.pdf,"Yu Liu, Sanjay R. Patel, Rod K. Nibbe, Sean Maxwell, Salim A. Chowdhury, Mehmet Koyuturk, Xiaofeng Zhu, Emma Larkin, Sarah Buxbaum, Naresh Punjabi, Sina Gharib, Susan Redline, Mark R. Chance",Systems Biology Analyses of Gene Expression and Genome Wide Association Study Data in Obstructive Sleep Apnea,1.0,True
2,https://psb.stanford.edu/psb-online/proceedings/psb11/otten.pdf,"Lars Otten, Rina Dechter",Finding Most Likely Haplotypes in General Pedigrees Through Parallel Search with Dynamic Load Balancing,2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb11/sorani.pdf,"Marco D. Sorani, Geoffrey T. Manley, J. Claude Hemphill, Sergio E. Baranzini","Dynamic, Multi-Level Network Models of Clinical Trials",3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb11/turcan.pdf,"Sevin Turcan, Xintao Wei, Jill Maron, Douglas E. Vetter, Donna K. Slonim",Mining Functionally Relevant Gene Sets for Analyzing Physiologically Novel Clinical Expression Data,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb11/wu.pdf,"Chuang Wu, Andrew S. Walsh, Roni Rosenfeld",Genotype Phenotype Mapping in Rna Viruses - Disjunctive Normal Form Learning,5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb11/bansal.pdf,"Vikas Bansal, Ondrej Libiger, Ali Torkamani, Nicholas J. Schork",An Application and Empirical Comparison of Statistical Analysis Methods for Associating Rare Variants to a Complex Phenotype,6.0,True
7,https://psb.stanford.edu/psb-online/proceedings/psb11/halldorsson.pdf,"Bjarni V. Halldorsson, Derek Aguiar, Sorin Istrail",Haplotype Phasing By Multi-Assembly of Shared Haplotypes: Phase-Dependent Interactions Between Rare Variants,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb11/zeggini.pdf,"Eleftheria Zeggini, Jennifer L. Asimit",An Evaluation of Power to Detect Low-Frequency Variant Associations Using Allele-Matching Tests that Account for Uncertainty,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb11/zhou.pdf,"Hua Zhou, David Alexander, Mary Sehl, Janet Sinsheimer, Kenneth Lange",Penalized Regression for Genome-Wide Association Screening of Sequence Data,9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb11/bunge.pdf,John Bunge,Estimating the Number of Species with Catchall,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb11/eren.pdf,"A. Murat Eren, Michael J. Ferris, Christopher M. Taylor",A Framework for Analysis of Metagenomic Sequencing Data,11.0,True
12,https://psb.stanford.edu/psb-online/proceedings/psb11/holmes.pdf,"S. Holmes, A. Alekseyenko, A. Timme, T. Nelson, P.J. Pasricha, A. Spormann",Visualization and Statistical Comparisons of Microbial Communities Using R Packages on Phylochip Data,12.0,True
13,https://psb.stanford.edu/psb-online/proceedings/psb11/moore.pdf,"Jason H. Moore, Richard Cowper-Sal.Lari, Douglas Hill, Patricia Hibberd, Juliette Madan",Human Microbiome Visualization Using 3d Technology,13.0,True
14,https://psb.stanford.edu/psb-online/proceedings/psb11/shah.pdf,"Neethu Shah, Haixu Tang, Thomas G. Doak, Yuzhen Ye",Comparing Bacterial Communities Inferred from 16s Rrna Gene Sequencing and Shotgun Metagenomics,14.0,True
15,https://psb.stanford.edu/psb-online/proceedings/psb11/bakan.pdf,"Ahmet Bakan, Ivet Bahar",Computational Generation inhibitor-Bound Conformers of P38 Map Kinase and Comparison with Experiments,15.0,True
