,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb08/dalca.pdf,"A.V. Dalca, M. Brudno",FRESCO: Flexible Alignment with Rectangle Scoring Schemes,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb08/landan.pdf,"Giddy Landan, Dan Graur",Local Reliability Measures from Sets of Co-Optimal Multiple Sequence Alignments,1.0,True
2,https://psb.stanford.edu/psb-online/proceedings/psb08/nelesen.pdf,"S. Nelesen, K. Liu, D. Zhao, C. R. Linder, T. Warnow",The Effect of the Guide Tree on Multiple Sequence Alignments and Subsequent Phylogenetic Analysis,2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb08/sinha.pdf,"Amit U. Sinha, Jaroslaw Meller",Sensitivity Analysis for Reversal Distance and Breakpoint Reuse in Genome Rearrangements,3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb08/huang.pdf,"J. C. Huang, B. J. Frey, Q. D. Morris",Comparing Sequence and Expression for Predicting microRNA Targets Using GenMIR3,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb08/long.pdf,"Dang Long, Chi Yu Chan, Ye Ding",Analysis of Microrna-Target Interactions by a Target Structure Based Hybridization Model,5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb08/vavic.pdf,"Vladimir Vacic, Hailing Jin, Jian-Kang Zhu, Stefano Lonardi",A Probabilistic Model for Small RNA Flowgram Matching,6.0,False
7,https://psb.stanford.edu/psb-online/proceedings/psb08/phoophakdee.pdf,"Benjarath Phoophakdee, Mohammed J. Zaki",TRELLIS+: An Effective Approach for Indexing Genome-Scale Sequences Using Suffix Trees,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb08/coarfa.pdf,"Cristian Coarfa, Aleksandar Milosavljevic",Pash 2.0: Scaleable Sequence Anchoring for Next-Generation Sequencing Technologgies,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb08/jojic.pdf,"Vladimir Jojic, Tomer Hertz, Nebojsa Jojic",Population Sequencing Using Short Reads: HIV as a Case Study,9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb08/olson.pdf,"A.J. Olson, J. Brennecke, A.A. Aravin, G.J. Hannon, R. Sachidanandam",Analysis of Large-Scale Sequencing of Small RNAs,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb08/carey.pdf,"V. J. Carey, J. Gentry, D. Sarkar, R. Gentleman, S. Ramaswamy",SGDI: System for Genomic Data Integration,11.0,True
12,https://psb.stanford.edu/psb-online/proceedings/psb08/pandey.pdf,"Jayesh Pandey, Mehmet Koyuturk, Wojciech Szpankowski, Ananth Grama",Annotating Pathways of Interaction Networks,12.0,True
13,https://psb.stanford.edu/psb-online/proceedings/psb08/daeman.pdf,"Anneleen Daeman, Olivier Gevaert, Tijl de Bie, Annelies Debucquoy, Jean-Pascal Machiels, Bart de Moor, Karin Haustermans",Integrating Microarray and Proteomics Data to Predict the Response of Cetuximab in Patients with Rectal Cancer,13.0,True
14,https://psb.stanford.edu/psb-online/proceedings/psb08/bhattacharjee.pdf,"Madhuchhanda Bhattacharjee, Colin Pritchard, Peter Nelson",A Bayesian Framework for Data and Hypotheses Driven Fusion of High Throughput Data: Application to Mouse Organogenesis,14.0,True
