,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb98/kosman.pdf,"D. Kosman, J. Reinitz and D.H. Shar",Automated Assay of Gene Expression at Cellular Resolution,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb98/liang.pdf,"S. Liang, S. Fuhrman and R. Somogy","REVEAL, A General Reverse Engineering Algorithm for Inference of GeneticNetwork Architectures",1.0,True
2,https://psb.stanford.edu/psb-online/proceedings/psb98/marnellos.pdf,G. Marnellos and E. Mjolsness;,A Gene Network Approach to Modeling Early Neurogenesis in Drosophila,2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb98/michaels.pdf,"G.S. Michaels, D.B. Carr, M. Askenazi, S. Fuhrman, X. Wen and R. Somogy",Cluster Analysis and Data Visualization of Large-Scale Gene Expression Data,3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb98/savageau.pdf,M.A. Savagea,Rules for the Evolution of Gene Circuitry,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb98/szallasi.pdf,Z. Szallasi and S. Lian,"Modeling the Normal and Neoplastic Cell Cycle With ""Realistic BooleanGenetic Networks"": Their Application for Understanding Carcinogenesisand Assessing Therapeutic Strategies",5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb98/thieffry.pdf,D. Thieffry and R. Thoma,Qualitative Analysis of Gene Networks,6.0,True
7,https://psb.stanford.edu/psb-online/proceedings/psb98/wuensche.pdf,A. Wuensch,Genomic Regulation Modeled as a Network with Basins of Attraction,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb98/hansen.pdf,"M. Hansen, J. Bentz, A. Baucom and L. Gregore",DINAMO: A Coupled Sequence Alignment Editor/Molecular Graphics Toolfor Interactive Homology Modeling of Proteins,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb98/bourne.pdf,"P. Bourne, M. Gribskov, G. Johnson, J. Moreland, S. Wavra and H. Weissi",A Prototype Molecular Interactive Collaborative Environment (MICE),9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb98/grigoriev.pdf,A. Grigorie,Reusable Graphical Interface to Genome Information Resources,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb98/shah.pdf,I. Shah and L. Hunte,Visualization Based on the Enzyme Commission Nomenclature,11.0,True
12,https://psb.stanford.edu/psb-online/proceedings/psb98/he.pdf,T. H,Wavelet-Assisted Volume Ray Casting,12.0,True
13,https://psb.stanford.edu/psb-online/proceedings/psb98/kaufman.pdf,A. Kaufma,Visualizing Nerve Cells with VolVis,13.0,True
14,https://psb.stanford.edu/psb-online/proceedings/psb98/winfield.pdf,A.J. Winfiel,A Virtual Laboratory Notebook for Simulation Models,14.0,True
15,https://psb.stanford.edu/psb-online/proceedings/psb98/parkinson.pdf,"C.I. Parkinson, M.D. Cooper, W.T. Hewitt and I.H. Hillie",MAVIS: An Interactive Visualization Tool for Computational ChemistryCalculations in a Distributed Networked Environment,15.0,True
16,https://psb.stanford.edu/psb-online/proceedings/psb98/ueno.pdf,Y. Ueno and K. Asa,A High-throughput Graphics Library Designed for a Portable Molecular Structure Viewer,16.0,True
17,https://psb.stanford.edu/psb-online/proceedings/psb98/uberbacher2.pdf,"E.C. Uberbacher, Y. Xu, M.B. Shah, V. Olman, M. Parang and R.J. Mura",An Editing Environment for DNA Sequence Analysis and Annotation,17.0,True
18,https://psb.stanford.edu/psb-online/proceedings/psb98/asai.pdf,"K. Asai, K. Itou, Y. Ueno and T. Yad",Recognition of Human Genes by Stochastic Parsing,18.0,True
19,https://psb.stanford.edu/psb-online/proceedings/psb98/zhang.pdf,M.Q. Zhan,A Discrimination Study of Human Core-Promoters,19.0,True
20,https://psb.stanford.edu/psb-online/proceedings/psb98/tsunoda.pdf,T. Tsunoda and T. Takag,Automatic Extraction of Position Specific Cooccurrence of TranscriptionFactor Bindings on Promoters,20.0,True
21,https://psb.stanford.edu/psb-online/proceedings/psb98/wagner.pdf,A. Wagne,"A Computational ""Genome Walk"" Technique To Identify RegulatoryInteractions in Gene Networks",21.0,True
22,https://psb.stanford.edu/psb-online/proceedings/psb98/hayes.pdf,W.S. Hayes and M. Borodovsk,Deriving Ribosomal Binding Site (RBS) Statistical Models from UnannotatedDNA Sequences and the Use of an RBS Model for N-terminal Prediction,22.0,True
23,https://psb.stanford.edu/psb-online/proceedings/psb98/overton.pdf,"G.C. Overton, C. Bailey, J. Crabtree, M. Gibson, S. Fischer and J. Schu",The GAIA Software Framework for Genome Annotation,23.0,True
24,https://psb.stanford.edu/psb-online/proceedings/psb98/cho.pdf,"S.J. Cho, W. Zheng and A. Tropsh",Focus-2D: A New Approach to the Design of Targeted CombinatorialChemical Libraries,24.0,True
25,https://psb.stanford.edu/psb-online/proceedings/psb98/hendrix.pdf,D.K. Hendrix and I.D. Kunt,Surface Solid Angle-Based Site Points for Molecular Docking,25.0,True
26,https://psb.stanford.edu/psb-online/proceedings/psb98/moeckel.pdf,"G. Moeckel, M. Keil, T. Exner and J. Brickman",Molecular Modeling Information Transfer with VRML: From SmallMolecules to Large Systems in Bioscience,26.0,True
27,https://psb.stanford.edu/psb-online/proceedings/psb98/brown.pdf,"L.M. Brown, R.E. Bruccoleri and J. Novotn",Empirical Free Energy Calculations on Phage 434 Repressor- and cro-DNAComplexes Support the 'Indirect Readout' Hypothesis of Specificity,27.0,True
28,https://psb.stanford.edu/psb-online/proceedings/psb98/couch.pdf,"C.C. Huang, G.S. Couch, E.F. Pettersen, T.E. Ferrin, A.E. Howard and T.E. Klei",The Object Technology Framework: An Object-Oriented Interface to Molecular Data and its Application to Collagen,28.0,True
29,https://psb.stanford.edu/psb-online/proceedings/psb98/rejto.pdf,P.A. Rejto and G.M. Verkhivke,Molecular Anchors with Large Stability Gaps Ensure Linear Binding FreeEnergy Relationships for Hydrophobic Substituents,29.0,True
30,https://psb.stanford.edu/psb-online/proceedings/psb98/ortiz.pdf,"A.R. Ortiz, A. Kolinski and J. Skolnic",Combined Multiple Sequence Reduced Protein Model Approach to Predictthe Tertiary Structure of Small Proteins,30.0,True
31,https://psb.stanford.edu/psb-online/proceedings/psb98/backofen.pdf,R. Backofe,Using Constraint Programming for Lattice Protein Folding,31.0,True
32,https://psb.stanford.edu/psb-online/proceedings/psb98/ouzounis.pdf,"C. Ouzounis, C. Pérez-Irratxeta, C. Sander and A. Valenci",Are Binding Residues Conserved?,32.0,True
33,https://psb.stanford.edu/psb-online/proceedings/psb98/akutsu.pdf,T. Akutsu and H. Tashim,Linear Programming Based Approach to the Derivation of a Contact Potential for Protein Threading,33.0,True
34,https://psb.stanford.edu/psb-online/proceedings/psb98/parisien.pdf,"M. Parisien, F. Major and M. Peitsc",A Protein Conformational Search Space Defined by Secondary StructureContacts,34.0,True
35,https://psb.stanford.edu/psb-online/proceedings/psb98/romero.pdf,"P. Romero, Z. Obradovic, C.R. Kissinger, J.E. Villafranca, E. Garner, S. Guilliot and A.K. Dunke",Thousands of Proteins Likely to Have Long Disordered Regions,35.0,True
36,https://psb.stanford.edu/psb-online/proceedings/psb98/edgecombe.pdf,"K. Edgecombe, A. Ableson, K. Baxter, A. Chiverton, J. Glasgow and S. Fortie",Protein Model Determination from Crystallographic Data,36.0,True
37,https://psb.stanford.edu/psb-online/proceedings/psb98/alexandrov.pdf,N.N. Alexandrov and V.V. Solovye,Statistical Significance of Ungapped Sequence Alignments,37.0,True
38,https://psb.stanford.edu/psb-online/proceedings/psb98/dunker.pdf,"A.K. Dunker, E. Garner, S. Guilliot, P. Romero, K. Albrecht, J. Hart, Z. Obradovic, C. Kissinger and E. Villafranc","Protein Disorder and the Evolution of Molecular Recognition: Theory, Predictions, and Observations",38.0,True
