,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb12/bandyopadhyay.pdf,"Nirmalya Bandyopadhyay, Sanjay Ranka, and Tamer Kahveci",SSLPred : Predicting Synthetic Sickness Lethality,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb12/carter.pdf,"Gregory W. Carter, Michelle Hays, Song Li, and Timothy Galitski",Predicting the Effects of Copy-Number Variation in Double and Triple Mutant Combinations,1.0,True
2,https://psb.stanford.edu/psb-online/proceedings/psb12/chen.pdf,"Li Chen, Jianhua Xuan, Jinghua Gu, Yue Wang, Li Chen, Zhen Zhang, Tian-Li Wang, and Ie-Ming Shih",Integrative Network Analysis to Identify Aberrant Pathway Networks in Ovarian Cancer,2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb12/mohammadi.pdf,"Shahin Mohammadi, Giorgos Kollias, and Ananth Grama",Role of Synthetic Genetic Interactions in Understanding Functional Interactions Among Pathways,3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb12/vandin.pdf,"Fabio Vandin, Patrick Clay, Eli Upfal, and Benjamin J. Raphael",Discovery of Mutated Subnetworks Associated with Clinical Data in Cancer,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb12/burger.pdf,"Virginia M. Burger, Arvind Ramanathan, Andrej J. Savol, Christopher B. Stanley, Pratul K. Agarwal, and Chakra S. Chennubhotla",Quasi-Anharmonic Analysis Reveals Intermediate States in the Nuclear Co-Activator Receptor Binding Domain Ensemble,5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb12/fisher.pdf,"Charles K. Fisher, Orly Ullman, and Collin M. Stultz",Efficient Construction of Disordered Protein Ensembles in a Bayesian Framework with Optimal Selection of Conformations,6.0,True
7,https://psb.stanford.edu/psb-online/proceedings/psb12/gao.pdf,Jianjiong Gao and Dong Xu,Correlation Between Posttranslational Modification and Intrinsic Disorder in Protein,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb12/guo.pdf,"Xin Guo, Martha L. Bulyk, and Alexander J. Hartemink",Intrinsic Disorder Within and Flanking the DNA-Binding Domains of Human Transcription Factors,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb12/hsu.pdf,"Wei-Lun Hsu, Christopher Oldfield, Jingwei Meng, Fei Huang, Bin Xue, Vladimir N. Uversky, Pedro Romero, and A. Keith Dunker",Intrinsic Protein Disorder and Protein-Protein Interactions,9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb12/huang-f.pdf,"Fei Huang, Christopher Oldfield, Jingwei Meng, Wei-lun Hsu, Bin Xue, Vladimir N. Uversky, Pedro Romero, and A. Keith Dunker",Subclassifying Disordered Proteins by the CH-CDF Plot Method,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb12/jeong.pdf,Chan-Seok Jeong and Dongsup Kim,Coevolved Residues and the Functional Association for Intrinsically Disordered Proteins,11.0,True
